"iso2c","country","year"
"GB","United Kingdom",2004
"GB","United Kingdom",2005
"GB","United Kingdom",2006
"GB","United Kingdom",2007
"GB","United Kingdom",2008
"GB","United Kingdom",2009
"GB","United Kingdom",2010
"GB","United Kingdom",2011
"GB","United Kingdom",2012
"GB","United Kingdom",2013
"GB","United Kingdom",2014
"GB","United Kingdom",2015
